X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA
-58.492788054187,-34.6021381723456,R020,685.000000,MELINCUE@HELGUERA,Barrios
-58.494279850469,-34.5950309724409,R021,704.000000,"BEIRO, FRANCISCO@NAZCA",Barrios
-58.493843437367,-34.5935630693471,R021,703.000000,NAVARRO@TERRADA,Barrios
-58.4933725604461,-34.5921241181273,R021,702.000000,"SOLANO LOPEZ, F., MARISCAL@CONDARCO",Barrios
-58.4929076595202,-34.5906818529059,R021,701.000000,"MORAN, PEDRO@BOLIVIA",Barrios
-58.4923956152341,-34.589290091811,R021,700.000000,"ASUNCION@ARTIGAS, JOSE GERVASIO DE,",Barrios
-58.4739781322895,-34.5861984106323,R022,699.000000,CAMPILLO@GAMARRA,Barrios
-58.4760250081148,-34.5863484211441,R022,698.000000,LLERENA@AVALOS,Barrios
-58.4780038007659,-34.585753235436,R022,697.000000,ARISMENDI@BAUNESS,Barrios
-58.48248521507,-34.5858727373473,R022,696.000000,HAMBURGO@BARZANA,Barrios
-58.4842741572433,-34.585330017187,R022,695.000000,GANDARA@ALTOLAGUIRRE,Barrios
-58.4683524736947,-34.5794371844088,R023,710.000000,HOLMBERG@GIRIBONE,Barrios
-58.4672646079022,-34.5805618540556,R023,711.000000,PLAZA@CHARLONE,Barrios
-58.4661819923516,-34.5816899645085,R023,712.000000,TRONADOR@ROSETI,Barrios
-58.4648057481584,-34.582825605884,R023,713.000000,ESTOMBA@FRAGA,Barrios
-58.463442835515,-34.5839589782701,R023,714.000000,HEREDIA@GUEVARA,Barrios
-58.4562164619483,-34.5702339346503,R024,709.000000,"AVILES, VIRREY@CRAMER",Barrios
-58.4581706833229,-34.5708669377492,R024,708.000000,ELCANO@ZAPIOLA,Barrios
-58.4641540472549,-34.5706348901826,R024,706.000000,LA PAMPA@SUPERI,Barrios
-58.4620832233833,-34.5712164016993,R024,707.000000,"PINO, Virrey del@CONDE",Barrios
-58.4677745198956,-34.5700511771256,R024,705.000000,"ECHEVERRIA@MARTINEZ, ENRIQUE, GRAL.",Barrios
-58.449394998233,-34.5715742842028,R025,724.000000,AGUILAR@MOLDES,Barrios
-58.4497966075724,-34.5704244892971,R025,723.000000,CESPEDES@AMENABAR,Barrios
-58.4500593597919,-34.5691935485647,R025,722.000000,ZABALA@CIUDAD DE LA PAZ,Barrios
