año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2010,Diciembre,Corredor Norte y Casares,PB12,1153
2010,Diciembre,EEUU y 33 Orientales,PB32,461
2010,Diciembre,F. Alcorta y Derecho,PB36,910
2010,Diciembre,Montev y Peron,PB37,248
2010,Diciembre,Cnel. Diaz y Mansilla,PB48,169
2010,Diciembre,Arenales y Montevideo,PB52,365
2011,Enero,Virrey Cevallos y Chile,PB1,955
2011,Enero,Azopar-do y Mexico,PB2,560
2011,Enero,Rincon y Carlos Calvo,PB3,1217
2011,Enero,Virrey Liniers y C.Calvo,PB6,907
2011,Enero,Billin-ghurst y Peron,PB10,1583
2011,Enero,Del Liber-tador y Montevideo,PB11,902
2011,Enero,Corredor Norte y Casares,PB12,1417
2011,Enero,EEUU y 33 Orientales,PB32,502
2011,Enero,F. Alcorta y Derecho,PB36,962
2011,Enero,Montev y Peron,PB37,373
2011,Enero,Potosi y Rawson,PB39,523
2011,Enero,J. Alvarez y Padilla,PB40,191
2011,Enero,Cnel. Diaz y Mansilla,PB48,316
2011,Enero,Arenales y Montevideo,PB52,474
2011,Febrero,Virrey Cevallos y Chile,PB1,1006
2011,Febrero,Azopar-do y Mexico,PB2,590
2011,Febrero,Rincon y Carlos Calvo,PB3,1279
2011,Febrero,Virrey Liniers y C.Calvo,PB6,843
2011,Febrero,Billin-ghurst y Peron,PB10,1671
2011,Febrero,Del Liber-tador y Montevideo,PB11,1173
2011,Febrero,Corredor Norte y Casares,PB12,1463
2011,Febrero,EEUU y 33 Orientales,PB32,643
2011,Febrero,F. Alcorta y Derecho,PB36,1132
2011,Febrero,Montev y Peron,PB37,394
2011,Febrero,Potosi y Rawson,PB39,407
2011,Febrero,J. Alvarez y Padilla,PB40,201
2011,Febrero,Cnel. Diaz y Mansilla,PB48,334
2011,Febrero,Arenales y Montevideo,PB52,500
2011,Marzo,Virrey Cevallos y Chile,PB1,1251
2011,Marzo,Azopar-do y Mexico,PB2,673
2011,Marzo,Rincon y Carlos Calvo,PB3,1166
2011,Marzo,Virrey Liniers y C.Calvo,PB6,1103
2011,Marzo,Billin-ghurst y Peron,PB10,1957
2011,Marzo,Del Liber-tador y Montevideo,PB11,1098
2011,Marzo,Corredor Norte y Casares,PB12,1756
2011,Marzo,EEUU y 33 Orientales,PB32,695
2011,Marzo,F. Alcorta y Derecho,PB36,1334
2011,Marzo,Montev y Peron,PB37,976
2011,Marzo,Potosi y Rawson,PB39,444
2011,Marzo,J. Alvarez y Padilla,PB40,306
2011,Marzo,Cnel. Diaz y Mansilla,PB48,373
2011,Marzo,Arenales y Montevideo,PB52,558
2011,Abril,Virrey Cevallos y Chile,PB1,1444
2011,Abril,Azopar-do y Mexico,PB2,879
2011,Abril,Rincon y Carlos Calvo,PB3,1167
