centroide,cantidad_ciclistas,X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry
716,1.6,-58.4418782021067,-34.5767719761256,R026,716.0,"DUMONT, SANTOS@CRAMER",Barrios,POINT (-58.4418782021067 -34.5767719761256)
717,3.5,-58.4414396513162,-34.5783322476857,R026,717.0,"ARENAL, CONCEPCION@CONESA",Barrios,POINT (-58.4414396513162 -34.5783322476857)
718,7.800000000000001,-58.4415432667039,-34.5800398021139,R026,718.0,DORREGO@ZAPIOLA,Barrios,POINT (-58.4415432667039 -34.5800398021139)
719,16.7,-58.4413759307532,-34.5817868169942,R026,719.0,AREVALO@GORRITI,Barrios,POINT (-58.4413759307532 -34.5817868169942)
720,5.7,-58.4498153989062,-34.5650665112089,R025,720.0,"PINO, Virrey del@ARCOS",Barrios,POINT (-58.4498153989062 -34.5650665112089)
721,1.0,-58.4502098073742,-34.5662759014875,R025,721.0,"ARREDONDO, Virrey@VUELTA DE OBLIGADO",Barrios,POINT (-58.4502098073742 -34.5662759014875)
722,3.3000000000000003,-58.4500593597919,-34.5691935485647,R025,722.0,ZABALA@CIUDAD DE LA PAZ,Barrios,POINT (-58.4500593597919 -34.5691935485647)
723,4.0,-58.4497966075724,-34.5704244892971,R025,723.0,CESPEDES@AMENABAR,Barrios,POINT (-58.4497966075724 -34.5704244892971)
724,3.8000000000000003,-58.449394998233,-34.5715742842028,R025,724.0,AGUILAR@MOLDES,Barrios,POINT (-58.449394998233 -34.5715742842028)
725,9.3,-58.420543370658,-34.5915780623808,R028,725.0,"COSTA RICA@ACUÃƒÂA DE FIGUEROA, FRANCISCO",Barrios,POINT (-58.420543370658 -34.5915780623808)
726,2.7,-58.4226875387379,-34.5927855227143,R028,726.0,GASCON@EL SALVADOR,Barrios,POINT (-58.4226875387379 -34.5927855227143)
727,21.8,-58.4242863102748,-34.592870969099,R028,727.0,"ALVAREZ, JULIAN@HONDURAS",Barrios,POINT (-58.4242863102748 -34.592870969099)
728,40.7,-58.4260828175451,-34.592789476134,R028,728.0,ARAOZ@GORRITI,Barrios,POINT (-58.4260828175451 -34.592789476134)
729,6.9,-58.4303216415305,-34.5929448349139,R028,729.0,"MALABIA@VEGA, NICETO, Cnel.",Barrios,POINT (-58.4303216415305 -34.5929448349139)
730,3.9000000000000004,-58.4289862112687,-34.57928870814,R027,730.0,HUMBOLDT@CHARCAS,Barrios,POINT (-58.4289862112687 -34.57928870814)
731,18.2,-58.4288893362998,-34.5828076302349,R027,731.0,GODOY CRUZ@GUATEMALA,Barrios,POINT (-58.4288893362998 -34.5828076302349)
732,7.1000000000000005,-58.4286195100133,-34.5840184495362,R027,732.0,FRAY JUSTO SANTAMARIA DE ORO@SOLER,Barrios,POINT (-58.4286195100133 -34.5840184495362)
733,3.0,-58.4288456589268,-34.5853144813984,R027,733.0,URIARTE@NICARAGUA,Barrios,POINT (-58.4288456589268 -34.5853144813984)
734,3.7,-58.4291465280111,-34.5867433548154,R027,734.0,THAMES@COSTA RICA,Barrios,POINT (-58.4291465280111 -34.5867433548154)
735,4.3,-58.4489005518803,-34.5574026183775,R008,735.0,JURAMENTO@MONTAÃƒÂESES,Barrios,POINT (-58.4489005518803 -34.5574026183775)
736,5.1000000000000005,-58.4508699529114,-34.5571372491311,R008,736.0,MENDOZA@ARRIBEÃƒÂOS,Barrios,POINT (-58.4508699529114 -34.5571372491311)
737,5.7,-58.4530774980133,-34.5570545519739,R008,737.0,"OLAZABAL@GOLFARINI, JUAN ANGEL, Dr.",Barrios,POINT (-58.4530774980133 -34.5570545519739)
738,9.8,-58.4545021113426,-34.5564935036307,R008,738.0,BLANCO ENCALADA@3 DE FEBRERO,Barrios,POINT (-58.4545021113426 -34.5564935036307)
739,14.600000000000001,-58.4562067501695,-34.5560814045993,R008,739.0,MONROE@O'HIGGINS,Barrios,POINT (-58.4562067501695 -34.5560814045993)
