,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,anio_construccion,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP,geometry
802,13531,13069,MENDEZ DE ANDES,1102,1200,1101,1199,,MENDEZ DE ANDES,CALLE,143.61,DECRECIENTE,-1,corrección numeración 16-1,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación",,3119555813022019.0,Ciclovía proyectada,VÍA LOCAL,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.45001189157109 -34.61623171481921, -58.451225572050745 -34.61669712863948, -58.45143783520222 -34.61676567146646))"
803,13554,3230,CHILE,1702,1800,1701,1799,,CHILE,CALLE,121.81,DECRECIENTE,-1,,Ciclovías,,,2011.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,1,1,1,MONSERRAT,MONSERRAT,MONSERRAT,"MULTILINESTRING ((-58.39035445248039 -34.61679148238821, -58.39051458640196 -34.61680052180778, -58.391465842840375 -34.616863410370186, -58.39167844463043 -34.61687762005497))"
804,13570,1149,AZOPARDO,702,800,701,799,,AZOPARDO,CALLE,138.57,DECRECIENTE,-1,,Ciclovías,Mano izquierda,Calle,2010.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,1,1,1,SAN TELMO,SAN TELMO,SAN TELMO,"MULTILINESTRING ((-58.367572401581214 -34.615684099544914, -58.36745096021273 -34.6167728204834, -58.36743314931195 -34.616927878814025))"
805,13579,18018,QUITO,4102,4200,4101,4199,,QUITO,CALLE,131.62,CRECIENTE,1,,Ciclovías,"Por calzada paralela y adyacente a la vereda sur, en doble sentido de circulación según Resolución 232/SECTRANS/19 en BO Nº 5630 del 03/06/2019",,2019.0,Ciclovía,VÍA LOCAL,,5,5,5,ALMAGRO,ALMAGRO,ALMAGRO,"MULTILINESTRING ((-58.424436403741254 -34.61692752471947, -58.425867677737536 -34.61701367759608))"
806,13594,3230,CHILE,1902,2000,1901,1999,,CHILE,CALLE,124.9,DECRECIENTE,-1,,Ciclovías,,,2011.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,3,3,3,BALVANERA,BALVANERA,BALVANERA,"MULTILINESTRING ((-58.39319315115453 -34.616976670162416, -58.39454967809271 -34.61707575326978))"
807,13606,18018,QUITO,4202,4300,4201,4299,,QUITO,CALLE,136.96,CRECIENTE,1,,Ciclovías,"Por calzada paralela y adyacente a la vereda sur, en doble sentido de circulación según Resolución 232/SECTRANS/19 en BO Nº 5630 del 03/06/2019",,2019.0,Ciclovía,VÍA LOCAL,,5,5,5,ALMAGRO,ALMAGRO,ALMAGRO,"MULTILINESTRING ((-58.425867677737536 -34.61701367759608, -58.427143756913715 -34.61709040146683, -58.42735713283207 -34.61710278861985))"
808,13608,13069,MENDEZ DE ANDES,1202,1300,1201,1299,,MENDEZ DE ANDES,CALLE,112.43,DECRECIENTE,-1,corrección numeración 16-1,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación",,3119555813022019.0,Ciclovía proyectada,VÍA LOCAL,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.45143783520222 -34.61676567146646, -58.451670967320815 -34.616840976564205, -58.452587488957185 -34.61711726119195))"
809,13631,18018,QUITO,4302,4400,4301,4399,,QUITO,CALLE,132.17,CRECIENTE,1,,Ciclovías,"Por calzada paralela y adyacente a la vereda sur, en doble sentido de circulación según Resolución 232/SECTRANS/19 en BO Nº 5630 del 03/06/2019",,2019.0,Ciclovía,VÍA LOCAL,,5,5,5,ALMAGRO,ALMAGRO,ALMAGRO,"MULTILINESTRING ((-58.42735713283207 -34.61710278861985, -58.42879471753603 -34.61718609207695))"
810,13634,9010,INDEPENDENCIA AV.,0,0,0,0,,AV. INDEPENDENCIA,AVENIDA,7.04,DOBLE,2,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,SAN TELMO,SAN TELMO,SAN TELMO,"MULTILINESTRING ((-58.36980170839081 -34.61716457914918, -58.369878455496725 -34.61716639853056))"
811,13644,3230,CHILE,2002,2100,2001,2099,,CHILE,CALLE,138.82,DECRECIENTE,-1,,Ciclovías,,,2011.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,3,3,3,BALVANERA,BALVANERA,BALVANERA,"MULTILINESTRING ((-58.39454967809271 -34.61707575326978, -58.394794987812624 -34.61709370839278, -58.39605619670719 -34.617196453626775))"
