X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry,barrio
-58.3702634298693,-34.6030071121394,R011,333.0,"CORRIENTES@ALEM, LEANDRO N.",Macrocentro,POINT (-58.3702634298693 -34.6030071121394),SAN NICOLAS
-58.3725218568127,-34.6020389766877,R011,329.0,LAVALLE@RECONQUISTA,Macrocentro,POINT (-58.3725218568127 -34.6020389766877),SAN NICOLAS
-58.3710120003458,-34.6042475119412,R011,332.0,SARMIENTO@25DE MAYO,Macrocentro,POINT (-58.3710120003458 -34.6042475119412),SAN NICOLAS
-58.3712688916834,-34.6007406713387,R011,504.0,TUCUMAN@25DE MAYO,Macrocentro,POINT (-58.3712688916834 -34.6007406713387),SAN NICOLAS
-58.3707952529447,-34.5995158325062,R011,505.0,"VIAMONTE@ALEM, LEANDRO N.",Macrocentro,POINT (-58.3707952529447 -34.5995158325062),SAN NICOLAS
-58.3754015309173,-34.5974999832944,R012,502.0,FLORIDA@PARAGUAY,Macrocentro,POINT (-58.3754015309173 -34.5974999832944),RETIRO
-58.3727942794418,-34.5985170724413,R012,501.0,RECONQUISTA@CORDOBA,Macrocentro,POINT (-58.3727942794418 -34.5985170724413),RETIRO
-58.3743175987594,-34.5962406329786,R012,503.0,"SAN MARTIN@ALVEAR, MARCELO T. De",Macrocentro,POINT (-58.3743175987594 -34.5962406329786),RETIRO
-58.3740830366885,-34.5997865850961,R012,500.0,SAN MARTIN@VIAMONTE,Macrocentro,POINT (-58.3740830366885 -34.5997865850961),SAN NICOLAS
-58.3753303621693,-34.6010497152625,R012,499.0,TUCUMAN@FLORIDA,Macrocentro,POINT (-58.3753303621693 -34.6010497152625),SAN NICOLAS
-58.3723243324202,-34.6055112842236,R013,327.0,"PERON, JUAN DOMINGO, TTE.@RECONQUISTA",Macrocentro,POINT (-58.3723243324202 -34.6055112842236),SAN NICOLAS
-58.3738497534534,-34.6032328833396,R013,328.0,SAN MARTIN@CORRIENTES,Macrocentro,POINT (-58.3738497534534 -34.6032328833396),SAN NICOLAS
-58.3736484627003,-34.606772163387,R013,325.0,"SAN MARTIN@MITRE, BARTOLOME",Macrocentro,POINT (-58.3736484627003 -34.606772163387),SAN NICOLAS
-58.3751617015173,-34.6045645148651,R013,326.0,SARMIENTO@FLORIDA,Macrocentro,POINT (-58.3751617015173 -34.6045645148651),SAN NICOLAS
-58.3749643111238,-34.6103561343442,R014,321.0,"ALSINA, ADOLFO@ROCA, JULIO A., Pres.",Macrocentro,POINT (-58.3749643111238 -34.6103561343442),MONSERRAT
-58.3735152803023,-34.6079368978301,R014,324.0,BOLIVAR@RIVADAVIA,Macrocentro,POINT (-58.3735152803023 -34.6079368978301),SAN NICOLAS
-58.3749168449071,-34.6080296071402,R014,322.0,FLORIDA@RIVADAVIA,Macrocentro,POINT (-58.3749168449071 -34.6080296071402),SAN NICOLAS
-58.3750362074234,-34.6068663403907,R014,323.0,"MITRE, BARTOLOME@FLORIDA",Macrocentro,POINT (-58.3750362074234 -34.6068663403907),SAN NICOLAS
-58.3765288715511,-34.6058256755162,R014,283.0,"PERON, JUAN DOMINGO, TTE.@MAIPU",Macrocentro,POINT (-58.3765288715511 -34.6058256755162),SAN NICOLAS
-58.3733161299356,-34.6125547356865,R015,311.0,BELGRANO@BOLIVAR,Macrocentro,POINT (-58.3733161299356 -34.6125547356865),MONSERRAT
-58.376367725634,-34.6087029205511,R015,280.0,CHACABUCO@DE MAYO,Macrocentro,POINT (-58.376367725634 -34.6087029205511),MONSERRAT
-58.3762052190427,-34.6115658672651,R015,265.0,CHACABUCO@MORENO,Macrocentro,POINT (-58.3762052190427 -34.6115658672651),MONSERRAT
-58.3746430247316,-34.6138169431486,R015,310.0,PERU@VENEZUELA,Macrocentro,POINT (-58.3746430247316 -34.6138169431486),MONSERRAT
-58.3760364855456,-34.6150005885362,R016,263.0,CHACABUCO@MEXICO,Macrocentro,POINT (-58.3760364855456 -34.6150005885362),MONSERRAT
-58.3731275537973,-34.6160299327441,R016,309.0,CHILE@BOLIVAR,Macrocentro,POINT (-58.3731275537973 -34.6160299327441),MONSERRAT
-58.3774253589179,-34.6162934439937,R016,261.0,CHILE@PIEDRAS,Macrocentro,POINT (-58.3774253589179 -34.6162934439937),MONSERRAT
-58.3744386987666,-34.6172531141267,R016,308.0,INDEPENDENCIA@PERU,Macrocentro,POINT (-58.3744386987666 -34.6172531141267),SAN TELMO
-58.3787729992746,-34.6175482257538,R016,260.0,INDEPENDENCIA@TACUARI,Macrocentro,POINT (-58.3787729992746 -34.6175482257538),MONSERRAT
-58.3727316974211,-34.6231381974456,R017,294.0,BOLIVAR@COCHABAMBA,Macrocentro,POINT (-58.3727316974211 -34.6231381974456),SAN TELMO
-58.3728501615147,-34.6207224979659,R017,296.0,BOLIVAR@HUMBERTO 1Ã‚Âª,Macrocentro,POINT (-58.3728501615147 -34.6207224979659),SAN TELMO
-58.3756443145911,-34.6220033708575,R017,292.0,CHACABUCO@SAN JUAN,Macrocentro,POINT (-58.3756443145911 -34.6220033708575),SAN TELMO
-58.3713326545152,-34.6218361275345,R017,300.0,DEFENSA@SAN JUAN,Macrocentro,POINT (-58.3713326545152 -34.6218361275345),SAN TELMO
-58.3742238858074,-34.6207601229024,R017,293.0,HUMBERTO 1Ã‚Âª@PERU,Macrocentro,POINT (-58.3742238858074 -34.6207601229024),SAN TELMO
-58.3755729246099,-34.6273015979898,R018,214.0,CASEROS@PIEDRAS,Macrocentro,POINT (-58.3755729246099 -34.6273015979898),CONSTITUCION
-58.3734963693592,-34.6282423113143,R018,286.0,FINOCHIETTO ENRIQUE DR.@PERU,Macrocentro,POINT (-58.3734963693592 -34.6282423113143),BARRACAS
-58.3736949882268,-34.6296552496444,R018,285.0,ITUZAINGO@PIEDRAS,Macrocentro,POINT (-58.3736949882268 -34.6296552496444),BARRACAS
-58.3772384878945,-34.6297318008369,R018,205.0,"MONTES DE OCA,MANUEL@FINOCHIETTO ENRIQUE DR.",Macrocentro,POINT (-58.3772384878945 -34.6297318008369),BARRACAS
-58.3756192342985,-34.6289675317945,R018,206.0,TACUARI@FINOCHIETTO ENRIQUE DR.,Macrocentro,POINT (-58.3756192342985 -34.6289675317945),BARRACAS
-58.3784934288342,-34.6274890077092,R019,212.0,"BRASIL@IRIGOYEN, BERNARDO de",Macrocentro,POINT (-58.3784934288342 -34.6274890077092),CONSTITUCION
-58.3750571031713,-34.6256420880422,R019,289.0,CHACABUCO@BRASIL,Macrocentro,POINT (-58.3750571031713 -34.6256420880422),SAN TELMO
-58.3770828539219,-34.6234873978968,R019,215.0,COCHABAMBA@PIEDRAS,Macrocentro,POINT (-58.3770828539219 -34.6234873978968),CONSTITUCION
-58.3740288957044,-34.6244364452379,R019,290.0,"GARAY, JUAN DE@PERU",Macrocentro,POINT (-58.3740288957044 -34.6244364452379),SAN TELMO
-58.3780062651913,-34.6256555104251,R019,213.0,"GARAY, JUAN DE@TACUARI",Macrocentro,POINT (-58.3780062651913 -34.6256555104251),CONSTITUCION
-58.3772680000459,-34.6197240877386,R020,218.0,"CALVO, CARLOS@PIEDRAS",Macrocentro,POINT (-58.3772680000459 -34.6197240877386),CONSTITUCION
-58.3758498240639,-34.6185407921873,R020,307.0,CHACABUCO@ESTADOS UNIDOS,Macrocentro,POINT (-58.3758498240639 -34.6185407921873),SAN TELMO
-58.3786639250023,-34.6208796050311,R020,217.0,HUMBERTO 1Ã‚Âª@TACUARI,Macrocentro,POINT (-58.3786639250023 -34.6208796050311),CONSTITUCION
-58.3802507166702,-34.6185028578873,R020,252.0,"IRIGOYEN, BERNARDO De@ESTADOS UNIDOS",Macrocentro,POINT (-58.3802507166702 -34.6185028578873),CONSTITUCION
-58.3800046684583,-34.6221373950233,R020,216.0,"IRIGOYEN, BERNARDO de@SAN JUAN",Macrocentro,POINT (-58.3800046684583 -34.6221373950233),CONSTITUCION
-58.3775814389541,-34.6128511072637,R021,264.0,BELGRANO@PIEDRAS,Macrocentro,POINT (-58.3775814389541 -34.6128511072637),MONSERRAT
-58.3802744857514,-34.6176389007975,R021,253.0,"IRIGOYEN, BERNARDO De@INDEPENDENCIA",Macrocentro,POINT (-58.3802744857514 -34.6176389007975),MONSERRAT
-58.3803651931699,-34.615240214692,R021,255.0,"MEXICO@IRIGOYEN, BERNARDO de",Macrocentro,POINT (-58.3803651931699 -34.615240214692),MONSERRAT
-58.3789820143046,-34.6141007826733,R021,262.0,TACUARI@VENEZUELA,Macrocentro,POINT (-58.3789820143046 -34.6141007826733),MONSERRAT
-58.3791205036018,-34.6106345554536,R022,276.0,"ALSINA, ADOLFO@TACUARI",Macrocentro,POINT (-58.3791205036018 -34.6106345554536),MONSERRAT
-58.3806819074088,-34.6090028804233,R022,270.0,"DE MAYO@IRIGOYEN, BERNARDO de",Macrocentro,POINT (-58.3806819074088 -34.6090028804233),MONSERRAT
-58.3804820195981,-34.6130400044617,R022,258.0,"IRIGOYEN, BERNARDO De@BELGRANO",Macrocentro,POINT (-58.3804820195981 -34.6130400044617),MONSERRAT
-58.3805396841266,-34.6118328867699,R022,259.0,"IRIGOYEN, BERNARDO de@MORENO",Macrocentro,POINT (-58.3805396841266 -34.6118328867699),MONSERRAT
