centroide,cantidad_ciclistas,año,turno,X,Y,RECORRIDO,CRUCE,ÃREA,geometry
341,8,2015,mañana,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,68,2015,tarde,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,6,2016,mañana,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,46,2016,tarde,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,17,2017,mañana,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,33,2017,tarde,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,19,2018,mañana,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
341,47,2018,tarde,-58.3569645758648,-34.616958158972,R001,"PADRE M. L. MIGONE@ACHAVAL RODRIGUEZ, T., DR.",Macrocentro,POINT (-58.3569645758648 -34.616958158972)
342,14,2013,mañana,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,28,2013,tarde,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,6,2014,mañana,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,21,2014,tarde,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,5,2015,mañana,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,24,2015,tarde,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,23,2016,mañana,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,21,2016,tarde,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,6,2017,mañana,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,21,2017,tarde,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,10,2018,mañana,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
342,19,2018,tarde,-58.3580771649094,-34.6171622897869,R001,"VERA PENALOZA, ROSARIO@CALABRIA",Macrocentro,POINT (-58.3580771649094 -34.6171622897869)
515,42,2013,mañana,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,52,2013,tarde,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,34,2014,mañana,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,24,2014,tarde,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,36,2015,mañana,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,24,2015,tarde,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,54,2016,mañana,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,40,2016,tarde,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,33,2017,mañana,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,41,2017,tarde,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,45,2018,mañana,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
515,48,2018,tarde,-58.361932946058,-34.6174997019247,R001,"MANSO JUANA@VERA PENALOZA, ROSARIO",Macrocentro,POINT (-58.361932946058 -34.6174997019247)
517,12,2013,mañana,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,35,2013,tarde,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,10,2014,mañana,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,25,2014,tarde,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,29,2015,mañana,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,45,2015,tarde,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,20,2016,mañana,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,26,2016,tarde,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,30,2017,mañana,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,32,2017,tarde,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,64,2018,mañana,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
517,62,2018,tarde,-58.3628795071574,-34.6175745869202,R002,"VERA PENALOZA, ROSARIO@DEALESSI, PIERINA",Macrocentro,POINT (-58.3628795071574 -34.6175745869202)
511,33,2013,mañana,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,45,2013,tarde,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,39,2014,mañana,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,50,2014,tarde,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,39,2015,mañana,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,33,2015,tarde,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,26,2016,mañana,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,20,2016,tarde,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,43,2017,mañana,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,29,2017,tarde,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,73,2018,mañana,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
511,40,2018,tarde,-58.3638832348297,-34.6119825360993,R002,"VILLAFLOR, AZUCENA@DEALESSI, PIERINA",Macrocentro,POINT (-58.3638832348297 -34.6119825360993)
512,36,2013,mañana,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,58,2013,tarde,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,14,2014,mañana,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,36,2014,tarde,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,25,2015,mañana,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,57,2015,tarde,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,25,2016,mañana,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,64,2016,tarde,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,29,2017,mañana,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,33,2017,tarde,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,45,2018,mañana,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
512,75,2018,tarde,-58.3625409560983,-34.6116533757874,R002,"MANSO JUANA@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3625409560983 -34.6116533757874)
513,14,2013,mañana,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,27,2013,tarde,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,0,2014,mañana,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,12,2014,tarde,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
